concurrency,adaptive,fastapi,flask,best_single,throughput_gain_pct
10,88.07,97.22,94.72,97.22,-9.411643694713028
25,221.63,240.71,239.41,240.71,-7.926550621079312
40,355.82,386.94,379.27,386.94,-8.042590582519255
50,283.58,479.12,472.68,479.12,-40.812322591417605
