concurrency,adaptive,fastapi_only,flask_only,best_single,gain_pct
10,86.09,96.88,94.68,96.88,-11.137489677952098
25,190.84,241.11,236.25,241.11,-20.84940483596699
40,293.73,384.24,374.78,384.24,-23.555590256089943
