concurrency,adaptive,fastapi,flask,best_single,latency_ratio
10,112.3,102.8,105.5,102.8,0.9154051647373108
25,111.4,103.8,104.3,103.8,0.9317773788150807
40,109.9,103.3,105.1,103.3,0.9399454049135577
50,168.4,103.4,105.1,103.4,0.6140142517814727
