load,io_intensity,cpu_usage,probability,backend
0.0,0.0,50.0,6.634556939388858e-06,flask
0.0,0.02040816326530612,50.0,1.6198144294321537e-05,flask
0.0,0.04081632653061224,50.0,3.954691419494338e-05,flask
0.0,0.061224489795918366,50.0,9.654837049311027e-05,flask
0.0,0.08163265306122448,50.0,0.00023161816352512687,flask
0.0,0.1020408163265306,50.0,0.0005496646626852453,flask
0.0,0.12244897959183673,50.0,0.0016331699443981051,flask
0.0,0.14285714285714285,50.0,0.07126375287771225,flask
0.0,0.16326530612244897,50.0,0.9640316367149353,fastapi
0.0,0.18367346938775508,50.0,0.9997720122337341,fastapi
0.0,0.2040816326530612,50.0,0.99998939037323,fastapi
0.0,0.22448979591836732,50.0,0.9999995231628418,fastapi
0.0,0.24489795918367346,50.0,1.0,fastapi
0.0,0.26530612244897955,50.0,1.0,fastapi
0.0,0.2857142857142857,50.0,1.0,fastapi
0.0,0.3061224489795918,50.0,1.0,fastapi
0.0,0.32653061224489793,50.0,1.0,fastapi
0.0,0.3469387755102041,50.0,1.0,fastapi
0.0,0.36734693877551017,50.0,1.0,fastapi
0.0,0.3877551020408163,50.0,1.0,fastapi
0.0,0.4081632653061224,50.0,1.0,fastapi
0.0,0.42857142857142855,50.0,1.0,fastapi
0.0,0.44897959183673464,50.0,1.0,fastapi
0.0,0.4693877551020408,50.0,1.0,fastapi
0.0,0.4897959183673469,50.0,1.0,fastapi
0.0,0.5102040816326531,50.0,1.0,fastapi
0.0,0.5306122448979591,50.0,1.0,fastapi
0.0,0.5510204081632653,50.0,1.0,fastapi
0.0,0.5714285714285714,50.0,1.0,fastapi
0.0,0.5918367346938775,50.0,1.0,fastapi
0.0,0.6122448979591836,50.0,1.0,fastapi
0.0,0.6326530612244897,50.0,1.0,fastapi
0.0,0.6530612244897959,50.0,1.0,fastapi
0.0,0.673469387755102,50.0,1.0,fastapi
0.0,0.6938775510204082,50.0,1.0,fastapi
0.0,0.7142857142857142,50.0,1.0,fastapi
0.0,0.7346938775510203,50.0,1.0,fastapi
0.0,0.7551020408163265,50.0,1.0,fastapi
0.0,0.7755102040816326,50.0,1.0,fastapi
0.0,0.7959183673469387,50.0,1.0,fastapi
0.0,0.8163265306122448,50.0,1.0,fastapi
0.0,0.836734693877551,50.0,1.0,fastapi
0.0,0.8571428571428571,50.0,1.0,fastapi
