timestamp,policy,endpoint,param,payload_bytes,inflight_sync,inflight_async,work_sync,work_async,worker,latency_ms,error
1789895162.4180124,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.241,
1789895162.4922786,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.279,
1789895162.5638163,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.532,
1789895162.63742,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.472,
1789895162.7095273,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.918,
1789895162.7835822,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.635,
1789895162.851391,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,5.613,
1789895162.9274468,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.748,
1789895162.9980605,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.492,
1789895163.0696745,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.266,
1789895163.143479,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.947,
1789895163.2133539,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.025,
1789895163.2881575,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.019,
1789895163.3601432,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.873,
1789895163.4355302,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.098,
1789895163.5078213,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.786,
1789895163.580945,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.937,
1789895163.6549363,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.411,
1789895163.72902,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.697,
1789895163.8006208,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,6.794,
1789895163.8751192,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.294,
1789895163.9485433,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.818,
1789895164.0209866,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.597,
1789895164.0889268,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,6.485,
1789895164.1609933,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.434,
1789895164.234451,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.691,
1789895164.3057551,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.005,
1789895164.3784747,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.247,
1789895164.4515293,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.186,
1789895164.5261614,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.805,
1789895164.5986192,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.945,
1789895164.6711798,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.021,
1789895164.74431,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.179,
1789895164.8170266,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.16,
1789895164.889285,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.761,
1789895164.961293,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.619,
1789895165.031254,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.058,
1789895165.1058874,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,10.258,
1789895165.1779246,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.108,
1789895165.2504082,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.301,
1789895165.3220782,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,8.423,
1789895165.394432,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.169,
1789895165.464155,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.04,
1789895165.53826,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,9.677,
1789895165.6099849,all_async,/api/user/profile,10,200,0,0,0.0,0.0,async,7.683,
