concurrency,adaptive,fastapi_only,flask_only,best_single,gain_vs_best_single_pct,gain_vs_flask_pct,gain_vs_fastapi_pct
20,44.75,12.43,32.15,32.15,39.19129082426128,39.19129082426128,260.01609010458566
50,56.18,11.16,31.25,31.25,79.776,79.776,403.40501792114696
100,58.47,11.7,31.3,31.3,86.80511182108626,86.80511182108626,399.7435897435897
